dataset_number,physics_short,e-tag,crossSection_pb,genFiltEff,kFactor,nEvents,sumOfWeights,sumOfWeightsSquared,process,generator,keywords,description,job_path
501058,MGPy8EG_StauStauDirect_200p0_1p0_TFilt,e8263,0.030314,0.67784,1.0,50000.0,1860.7677861228585,74.08355829450205,"Stau pair, stau->tau neutralino",MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0),"['stau', 'susy']","Direct stau-pair production in simplified model, m_stauLR = 200 GeV, m_N1 = 1 GeV",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/501xxx/501058/mc.MGPy8EG_StauStauDirect_200p0_1p0_TFilt.py
506098,aMCPy8EG_WpH_FxFx_Htautau,e8307,0.90303,1.0,1.0,80000.0,131038.3560295105,653165.625487522,W+H H->tau tau,aMcAtNlo+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0),"['2tau', 'Higgs', 'SM', 'SMHiggs', 'WHiggs', 'mH125']",W+ H 125 GeV Higgs FxFx merged production decaying to tautau.,https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/506xxx/506098/mc.aMCPy8EG_WpH_FxFx_Htautau.py
506099,aMCPy8EG_ZH_FxFx_Htautau,e8307,0.78732,1.0,1.0,60000.0,85720.03716802597,389729.6457274381,ZH H->tau tau,aMcAtNlo+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0),"['2tau', 'Higgs', 'SM', 'SMHiggs', 'ZHiggs', 'mH125']",ZH 125 GeV Higgs FxFx merged production decaying to tautau.,https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/506xxx/506099/mc.aMCPy8EG_ZH_FxFx_Htautau.py
506101,aMCH7EG_VBF_Htautauh30h20,e8357,3.673,0.48527,1.0,200000.0,731694.0322799683,12019269.687440332,VBF H->tautau,aMcAtNlo+Herwig7(v.7.2.1p4)+EvtGen(v.1.7.0),"['Higgs', 'VBF', 'mH125', 'resonance']",MG+H71 VBF at NLO,https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/506xxx/506101/mc.aMCH7EG_VBF_Htautauh30h20.py
506102,aMCH7EG_VBF_Htautaul13l7,e8357,3.6715,0.47017,1.0,164000.0,604122.0512657166,9886059.078519506,VBF H->tautau,aMcAtNlo+Herwig7(v.7.2.3p2)+EvtGen(v.2.1.1),"['Higgs', 'VBF', 'mH125', 'resonance']",MG+H71 VBF at NLO,https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/506xxx/506102/mc.aMCH7EG_VBF_Htautaul13l7.py
506103,aMCH7EG_VBF_Htautaulp15hm20,e8357,3.6729,0.17845,1.0,120000.0,441258.77349948883,7217989.726830932,VBF H->tautau,aMcAtNlo+Herwig7(v.7.2.3p2)+EvtGen(v.2.1.1),"['Higgs', 'VBF', 'mH125', 'resonance']",MG+H71 VBF at NLO,https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/506xxx/506103/mc.aMCH7EG_VBF_Htautaulp15hm20.py
506104,aMCH7EG_VBF_Htautaulm15hp20,e8357,3.6728,0.17825,1.0,200000.0,737011.2681522369,12150987.76339853,VBF H->tautau,aMcAtNlo+Herwig7(v.7.2.1p4)+EvtGen(v.1.7.0),"['Higgs', 'VBF', 'mH125', 'resonance']",MG+H71 VBF at NLO,https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/506xxx/506104/mc.aMCH7EG_VBF_Htautaulm15hp20.py
506811,aMCH7EG_VBF_HC_Hyy,e8272,0.0057024,1.0,1.0,148000.0,841.8011766895652,21.274437399779952,VBF H->gamma gamma,aMcAtNlo+Herwig7(v.7.2.3p2)+EvtGen(v.2.1.1),"['Higgs', 'VBF', 'gluonFusionHiggs', 'mH125', 'resonance']",MG+H7.1 VBF at NLO,https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/506xxx/506811/mc.aMCH7EG_VBF_HC_Hyy.py
506813,aMCPy8EG_ZH_had_FxFx_Hyy,e8307,0.54655,1.0,1.0,40000.0,50597.87507939339,130974.90302024654,ZH Z->qq H->gamma gamma,aMcAtNlo+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0),['Higgs'],"ZH (Z->jj, onshell) 125 GeV Higgs FxFx merged production decaying to gammagamma.",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/506xxx/506813/mc.aMCPy8EG_ZH_had_FxFx_Hyy.py
506814,aMCPy8EG_ggZH_Zhad_Hyy,e8307,0.034536,1.0,1.0,40000.0,1381.5493173897266,47.7170315396138,GGF ZH Z->qq H->gamma gamma,aMcAtNlo+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0),['Higgs'],"ggZH (Z->jj, on shell) 125 GeV Higgs production decaying to gammagamma.",https://gitlab.cern.ch/atlas-physics/pmg/mcjoboptions/-/blob/master/506xxx/506814/mc.aMCPy8EG_ggZH_Zhad_Hyy.py
